"";"sKNotes:notes";"item ### type";"item ### note";
"0639a2c7-260f-4b7e-95a2-bb8a459a38bf";"";;;"
"
"063da128-4092-499d-bf26-083d7ada9ba6";"";;;"
"
"06402b3c-d859-464b-b1f0-44cc85f22975";"";;;"
"
"06412e3c-6337-4d9c-b5a5-0fa8c17f7b67";;"Note sur l'exposition - 1975, Paris, galerie Schmit ###  ### Note sur l'exposition - 2005, Le Havre, De COURBET à MATISSE donation Senn ###  ### Note sur l'exposition - 2010, Le Havre, Degas inédit ### ";"n° 50, repr. p. 103 ###  ### s.n° ###  ### s.n° ### ";"
"
"06486a19-33a7-4cec-b9f0-4cc9370cbb8e";"";;;"
"
"064c58c8-eb47-4106-a390-2c40ce200b79";"";;;"
"
"064d3abe-6a44-41a0-85be-01102362a0af";"";;;"
"
"0672be40-192a-4bc7-9fc3-12708702be8a";;"Note sur l'exposition - 2009, Le Havre, Deuxième Donation ### ";"s. n° ### ";"
"
"0683b980-5665-4140-a1dd-c8a1d4b28bce";;"Note sur les numéros d'identification ### ";"Numéro attribué d'après recto de l'oeuvre. Pas de fiche cartonnée. ### ";"
"
"069b31ad-aae0-4e26-87c5-4f52dfcda5e6";"";;;"
"
"069c6f3f-03d0-4d22-88a7-c660da569ad3";"";;;"
"
"06b08499-a84d-4afe-9aeb-0b2f0f602fcb";;"Note sur l'exposition - 1953-1954, Paris, MNAM, De Corot à nos jours ###  ### Note sur l'exposition - 1954, Nice, Musée Masséna ###  ### Note sur l'exposition - 1959, Le Havre, Chambre de Commerce ###  ### Note sur l'exposition - 1978, Le Havre, Musée des Beaux-Arts.... ###  ### Note sur l'exposition - 1987, Le Havre, Musée des Beaux-Arts André Malraux ###  ### Note sur l'exposition - 1993, Fécamp, Musées municipaux ###  ### Note sur l'exposition - 1996, Southampton ###  ### Note sur l'exposition - 1998, Valenciennes, Musée des ... ###  ### Note sur l'exposition - 1998, Honfleur, Musée Eugène Boudin ###  ### Note sur l'exposition - 2003, Honfleur, Un siècle de bains de mer dans l'e ### ";"n° 10 du catalogue ###  ### n° 18 du catalogue ###  ### n° 26 du catalogue ###  ### p. 15 du catalogue, ch. Marines ###  ### n° 192 du catalogue, repr. en noir et blanc ###  ### Repr. en coul. p. 44 du catalogue ###  ### n° 2 du catalogue, repr. en coul. p. 27 ###  ### n° 4 du catalogue ###  ### n° 175 du catalogue ###  ### n° 138 ### ";"
"
"06dbb0f7-0e6f-46f5-b5f1-51bfacefa767";"";;;"
"
"06eb12e3-7bea-4ac3-9408-39eb509241ed";;"Note sur l'exposition - 1936, Paris, Peintures, aquarelles ###  ### Note sur l'exposition - 1955, Paris, 1850-1950 ###  ### Note sur l'exposition - 1960, Paris, Jongkind ###  ### Note sur l'exposition - 1966, Paris, Jongkind ###  ### Note sur l'exposition - 1976, Paris, Jongkind ###  ### Note sur l'exposition - 2005, Le Havre, De COURBET à MATISSE donation Senn ###  ### Export DMF ### ";"n° 93, sous le titre \"Pont Marie (1872)\" ###  ### n° 61 ###  ### n° 42, sous le titre \"Le Quai des Célestins et le Pont Marie\" ###  ### n° 49, repr. p. 61 ###  ### n° 66 ###  ### s.n° ### ";"
"
"06f54e7d-5dd3-4aed-bdae-7b11b018125a";"";;;"
"
"06fdabf1-4e1d-4e62-9191-bb8f8b0306d8";"";;;"
"
"0716410e-9921-450f-8d85-8779787817a9";"";;;"
"
"072abbf0-1dab-4065-b288-bdd95ca5278b";"";;;"
"
"073251dd-7c9f-4911-9d1f-ad7590fc1d8c";"";;;"
"
"0735659e-e3b2-48dd-bdc2-9a146ffce27d";;"Note sur l'exposition - 2011, Le Havre, La Jeunesse d'un musée ###  ### Note sur les numéros d'identification ###  ### Note sur le statut juridique ### ";"n° 8 ###  ### \"Dépôt de l'Etat en 1851, transfert de propriété de l'Etat à la ville du Havre, le 27 avril 2015.\" ###  ### Transfert accepté par délibération du conseil municipal du Havre du 14 juin 2011 ### ";"
"
"0745f96c-d82e-4214-adfb-9be2a3f12e76";"";;;"
"
